Date,Daily Max 1-hour NO2 Concentration(ppb),DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,0EM_HIGH,0EM_AVG,0EM_LOW,DEW_HIGH,DEW_AVG,DEW_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SLP_HIGH,SLP_AVG,SLP_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIN_HIGH,WIN_AVG,PRECIP,MUSIC
01/01/2015,10,9,22,92,4,3,1,4,2,-2,100,82,64,1029,1024,1021,16,5,2,14,8,16,0
01/02/2015,10.3,9,24,100,6,5,3,5,4,3,100,95,89,1022,1019,1014,16,7,2,19,7,5.08,0
01/03/2015,20.9,19,24,100,17,11,4,6,4,3,100,74,48,1020,1015,1013,16,12,3,23,5,19.3,0
01/04/2015,11.5,10,24,100,11,6,2,5,-1,-6,100,69,38,1039,1032,1021,16,16,16,26,11,0,0
01/05/2015,31.5,29,24,100,11,5,-2,-2,-5,-7,75,54,32,1041,1036,1031,16,16,16,13,6,0,0
01/06/2015,35.3,33,24,100,22,12,2,3,0,-2,76,50,23,1031,1029,1026,16,16,16,14,3,0,0
01/07/2015,18.2,17,24,100,11,5,-1,3,-3,-13,76,54,32,1043,1035,1027,16,16,16,34,14,0,0
01/09/2015,17,16,24,100,3,2,1,0,-3,-6,70,62,54,1035,1032,1026,16,15,6,21,9,0.51,0
01/10/2015,10.7,9,24,100,2,1,0,1,-1,-7,100,76,52,1035,1030,1026,16,7,3,13,5,7.62,0
01/11/2015,12.9,11,22,92,9,6,1,7,4,1,100,90,80,1026,1023,1019,16,11,2,13,4,4.32,0
01/12/2015,7.6,7,24,100,8,6,4,7,5,2,100,88,76,1031,1025,1021,16,7,0,23,9,0,0
01/13/2015,7.1,7,24,100,6,4,2,3,1,-1,92,83,73,1033,1030,1029,16,12,6,19,11,0,0
01/14/2015,11.9,10,24,100,4,4,3,3,2,1,92,86,79,1030,1027,1025,13,7,3,14,7,0,0
01/16/2015,25.1,24,24,100,18,11,3,5,3,2,92,64,36,1029,1026,1022,16,16,16,13,4,0,0
01/17/2015,15.6,14,24,100,21,12,4,8,4,1,92,63,34,1025,1020,1017,16,16,10,19,5,0,0
01/18/2015,14.8,13,20,83,22,15,8,1,-1,-3,53,37,20,1029,1025,1023,16,16,16,16,5,0,0
01/19/2015,17.9,16,24,100,24,13,3,8,5,-2,85,59,33,1022,1017,1014,16,16,16,16,5,0,0
01/20/2015,30.1,28,24,100,27,16,5,11,7,4,89,59,28,1017,1014,1011,16,16,11,19,5,0,0
01/21/2015,12.5,11,24,100,13,12,10,12,10,6,96,84,71,1021,1018,1017,16,8,2,16,9,4.06,0
01/22/2015,5.7,5,24,100,11,8,5,11,8,3,100,91,82,1025,1018,1015,16,7,2,32,16,52.58,0
01/23/2015,5.5,5,24,100,11,7,3,6,3,2,93,77,61,1027,1025,1023,16,13,5,24,10,10.16,0
01/24/2015,12.8,11,24,100,17,10,2,5,2,-1,92,62,32,1025,1023,1019,16,16,16,21,6,0,0
01/25/2015,3.9,3,22,92,23,14,4,4,1,-2,85,53,20,1023,1020,1016,16,16,16,21,10,0,0
01/26/2015,17.3,16,24,100,23,16,8,6,3,0,61,43,25,1026,1023,1021,16,16,16,16,7,0,0
01/27/2015,35.3,33,19,79,28,19,11,7,4,2,71,47,23,1023,1021,1019,16,16,16,23,9,0,0
01/28/2015,17.9,16,24,100,27,17,6,9,6,3,96,60,23,1022,1020,1018,16,16,16,23,6,0,0
01/29/2015,14.5,13,24,100,26,19,11,13,9,1,100,68,35,1029,1023,1020,16,15,10,26,7,T,0
01/30/2015,15.1,14,24,100,14,12,9,4,2,1,63,52,40,1031,1028,1025,16,16,16,23,9,T,0
01/31/2015,19.7,18,24,100,17,13,9,16,11,3,100,80,59,1025,1017,1012,16,8,1,24,7,7.87,0
